PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0035804, Banded stripe cotton poplin dress, Dress,79.95,39.95, White/black, White, Cotton
CL0035534, Tie front hacci knit top, Top,49.95,29.95, Gray, Gray, Cotton Polyester
CL0036608, Victoria dress, Dress,59.95,59.95, Brown, Brown, Cotton
CL0035276, Galloping horse jersey knit dress, Dress,79.95,39.95, Deep olive/cream, Deep olive, Polyester Spandex
CL0036787, Embellished stripe waist cotton knit dress, Dress,106.95,64.95, White/olive multi, White, Cotton Rayon Spandex
CL0032867, Button front chambray denim skirt, Skirt,59.95,38.95, Deep indigo, Deep indigo, Cotton
CL0033568, Sequin cap sleeve top, Top,59.95,29.95, Silver gray, Silver gray, Polyester
CL0036479, Palm print crepe tank top, Top,39.95,19.95, Off-white/turquoise/black, Off-white, Cotton
CL0036509, Bold graphic print flared skirt, Skirt,89.95,44.95, Off-white/black, Off-white, Polyester
CL0036309, Floral bloom print crepe skirt, Skirt,99.95,49.95, Lavender/violet multi, Lavender, Polyester Crepe de Chine
CL0036444, Mesh inserts floral sateen skirt, Skirt,94.95,37.95, Off-white/coral/olive, Off-white, Cotton Spandex
CL0036251, Notch neck satin twill blouse, Top,49.95,24.95, Deep coral, Deep coral, Cotton
CL0036383, Two tone asymmetric layer top, Top,84.95,33.95, Beige/black, Beige, Polyester Spandex
CL0035490, Geo jacquard crop pants, Pant,99.95,39.95, Deep navy/off-white, Deep navy, Cotton Polyester
CL0035680, Graphic dot print cotton sateen dress, Dress,79.95,39.95, Teal multi/black, Teal multi, Cotton Spandex
CL0036661, Floral print chiffon sash tied shift dress, Dress,99.95,59.95, Black/cream/gray, Black, Polyester
CL0034631, Graphic geo patch print flared skirt, Skirt,119.95,59.95, Mustard/teal/ivory, Mustard, Wool Nylon
CL0034273, Heart print cotton cambric shirt, Top,39.95,19.95, Blush/off-white/brown, Blush, Cotton
CL0033432, Lace trim floral embellished top, Top,66.95,40.95, Deep navy/white, Deep navy, Cotton Spandex
CL0035793, Bold stripe knit strapless maxi dress, Dress,99.95,49.95, Black/ecru/orange, Black, Rayon Polyester Spandex
CL0033593, Bubble knit sash tied shirtdress, Dress,89.95,53.95, Red/white, Red, Polyester Spandex
CL0035494, Stretch jacquard check crop pants, Pant,89.95,58.95, Black/white, Black, Polyester Spandex
CL0035563, Geo print banded stripe dress, Dress,99.95,59.95, Off-white/khaki, Off-white, Cotton Spandex
CL0036247, Split neck graphic embroidery dress, Dress,99.95,59.95, Off-white/yellow, Off-white, Cotton
CL0034891, Strapless floral embellished tulle dress, Dress,86.95,52.95, Off-white/black, Off-white, Polyester
CL0036737, Floral lace bib cold shoulder top, Top,69.95,27.95, Sunset gold, Sunset gold, Polyester
CL0031919, Cotton knit curved waist dress, Dress,59.95,35.95, Deep navy, Deep navy, Cotton Spandex
CL0035505, Stretch twill wide leg pants, Pant,99.95,64.95, Khaki, Khaki, Cotton Polyester Spandex
CL0036784, Floral stretch sateen utility cargo pants, Pant,89.95,53.95, Beige multi, Beige multi, Cotton Polyester Spandex
CL0036409, Draped light jersey and print tunic, Top,94.95,37.95, Black multi, Black multi, Viscose
CL0035586, Cowl collar with ties ponte dress, Dress,89.95,58.95, Black, Black, Rayon Nylon Spandex
CL0036408, Stripe layered asymmetric hem dress, Dress,119.95,47.95, Black/white, Black, Rayon
CL0035161, Colorblock cotton knit wrap dress, Dress,69.95,52.95, Deep navy/royal blue/white, Deep navy, Cotton Spandex
CL0034410, Graphic embellished two tone knit sheath dress, Dress,66.95,43.95, Royablue/black, Royablue, Cotton Spandex
CL0035249, Floral print chiffon surplice romper, Dress,99.95,59.95, Yellow/red multi, Yellow, Polyester
CL0028929, Belted chambray skirt, Skirt,52.95,34.95, Deep indigo, Deep indigo, Cotton
CL0034465, Asymmetric hem cotton knit dress, Dress,79.95,59.95, Royal blue, Royal blue, Cotton Spandex
CL0035506, Stretch twill wide leg pants, Pant,99.95,59.95, Deep brown, Deep brown, Cotton Polyester Spandex
CL0036156, Butterfly print high-low hem chiffon dress, Dress,89.95,44.95, Deep navy multi, Deep navy multi, Polyester
CL0036714, Bow tie graphic stripe blouse, Top,49.95,19.95, Olive/khaki/brown, Olive, Cotton
CL0035787, Herringbone crepe sash tied jumpsuit, Jumpsuit,99.95,59.95, Sangria, Sangria, Polyester
CL0035865, Banded stripe retro poplin frock, Dress,69.95,45.95, Black/surf blue/white, Black, Cotton
CL0036612, V-neck fit-and-flare dress, Dress,99.95,64.95, Gray/white, Gray, Polyester
CL0036622, Floral embellished elastic waist chambray dress, Dress,86.95,60.95, Indigo multi, Indigo multi, Cotton
CL0035822, Draped light jersey knit tunic, Top,39.95,19.95, Mint green, Mint green, Viscose
CL0036230, Floral embellished low waist cotton knit dress, Dress,86.95,52.95, Deep navy multi, Deep navy multi, Cotton Spandex
CL0036249, Floral print chiffon tassel tie dress, Dress,71.95,46.95, Light blue/off-white, Light blue, Cotton
CL0032095, Leafy vine bib front denim chambray dress, Dress,86.95,56.95, Deep indigo/white, Deep indigo, Cotton
CL0035177, Arbor cotton knit dress, Dress,59.95,44.95, Royal blue, Royal blue, Cotton Spandex
CL0036371, Floral flounce hem sheath dress, Dress,179.95,71.95, Black/baby blue, Black, Cotton Polyester
CL0035937, Floral neck jersey stripe sheath dress, Dress,96.95,58.95, White/black, White, Cotton Rayon Spandex
CL0033934, Alexandra dress, Dress,99.95,99.95, Black, Black, Rayon Nylon Spandex
CL0035079, Roll tab sleeve pullover shirt, Top,49.95,29.95, Deep olive, Deep olive, Polyester Spandex
CL0035891, Cutout dandelion print cotton maxi, Dress,119.95,59.95, Yellow/off-white, Yellow, Cotton
CL0036609, Buckle front dot embellished jersey dress, Dress,126.95,63.95, Denim blue/pink, Denim blue, Polyester Rayon Spandex
CL0034048, Polka dot mesh mermaid dress, Dress,99.95,99.95, Black, Black, Nylon
CL0036600, Tropical print crepe A-line dress, Dress,79.95,47.95, Ecru/green multi, Ecru, Polyester Crepe de Chine
CL0034701, Ashley dress, Dress,179.95,179.95, Blush, Blush, Polyester
CL0035879, Her fifties tropical floral print dress, Dress,79.95,51.95, Off-white multi, Off-white multi, Cotton Spandex
CL0036527, Cactus print crepe jogger pants, Pant,89.95,53.95, Dusty peach multi, Dusty peach multi, Polyester Crepe de Chine
CL0036314, Pretty pink floral print crepe dress, Dress,89.95,53.95, Pink multi, Pink multi, Polyester Crepe de Chine
CL0035899, Pleated denim chambray culottes, Pant,59.95,38.95, Deep indigo, Deep indigo, Cotton
CL0035587, Pleated corset bodice chambray dress, Dress,74.95,48.95, Deep indigo, Deep indigo, Cotton
CL0035841, Fiona dress, Dress,119.95,71.95, Off-white, Off-white, Cotton
CL0034971, Brooklyn dress, Dress,69.95,34.95, Sunset gold, Sunset gold, Cotton
CL0036475, Notch neck belted lace dress, Dress,99.95,39.95, Peach bloom, Peach bloom, Nylon Polyester
CL0034439, Show your stripes knit dress, Dress,64.95,42.95, Cream/black, Cream, Cotton Spandex
CL0036163, Floral embellished chiffon trapeze dress, Dress,99.95,49.95, Cream, Cream, Polyester
CL0035905, Floral embellished chambray denim maxi dress, Dress,106.95,69.95, Deep indigo/white, Deep indigo, Cotton
CL0036322, Floral organza cutout back dress, Dress,99.95,99.95, White/aquamarine, White, Polyester
CL0035861, Graphic embellished chiffon tank, Top,76.95,38.95, Ivory multi, Ivory multi, Polyester
CL0026865, Brooklyn dress, Dress,59.95,59.95, Black, Black, Cotton
CL0035557, Sheer chiffon print kimono top, Top,49.95,32.95, Beige/red/brown, Beige, Cotton Polyester
CL0035957, Piped trim slub weave dress, Dress,99.95,59.95, Yellow, Yellow, Polyester
CL0035262, Cross back bubble check dress, Dress,74.95,44.95, Navy/white, Navy, Polyester Spandex
CL0036269, Olivia dress, Dress,59.95,59.95, Brown, Brown, Cotton
CL0034524, Contrast trim cotton knit shirtdress, Dress,64.95,42.95, Deep navy/green, Deep navy, Cotton Spandex
CL0035648, Sequin trim georgette dress, Dress,106.95,106.95, Deep navy, Deep navy, Polyester
CL0036604, Sequin pleated chiffon dress, Dress,136.95,136.95, Celery green, Celery green, Polyester
CL0036513, Poppy fields print crepe belted shirtdress, Dress,89.95,44.95, Off-white/red/green/yellow, Off-white, Polyester Crepe de Chine
CL0036494, Deep scoop back paisley print dress, Dress,79.95,39.95, White/aqua/purple, White, Polyester Crepe de Chine
CL0036242, Graphic chevron print cotton shirtdress, Dress,99.95,49.95, Navy/white, Navy, Cotton
CL0035837, Sand wash silk maxi shirtdress, Dress,199.95,119.95, Loden green, Loden green, Silk
CL0035730, Scallop stretch crepe shorts, Pant,76.95,46.95, Cream, Cream, Polyester Spandex
CL0036806, Retro chambray shirtdress, Dress,79.95,55.95, Indigo, Indigo, Cotton
CL0034659, Floral print elastic smocked dress, Dress,129.95,77.95, Yellow/red/green, Yellow, Polyester
CL0036649, Embellished bib cotton poplin dress, Dress,74.95,48.95, White, White, Cotton
CL0036168, Floral print racer back jumpsuit, Jumpsuit,99.95,59.95, Gray/yellow, Gray, Polyester
CL0035583, Contrast trim cotton knit dress, Dress,74.95,37.95, Royal blue/black, Royal blue, Cotton Spandex
CL0036789, Tie front crepe palazzo pants, Pant,69.95,41.95, Tiger lily, Tiger lily, Polyamide Spandex
CL0036491, Embellished tulle overlayer floral dress, Dress,136.95,68.95, Yellow/off-white multi, Yellow, Polyester
CL0034625, Piped trim cotton poplin dress, Dress,89.95,53.95, White/black, White, Cotton
CL0036407, Layered asymmetric hem dress, Dress,119.95,47.95, Black, Black, Polyamide Spandex
CL0036113, Diamond print racer back jumpsuit, Jumpsuit,99.95,59.95, Black multi, Black multi, Polyester
CL0036300, Stretch crepe satin long tunic, Top,59.95,29.95, Rose smoke, Rose smoke, Polyester
CL0036339, Animal print crepe caftan dress, Dress,96.95,48.95, Rich cream multi, Rich cream multi, Polyester Crepe de Chine
CL0036647, Ruffle hem cotton check shirtdress, Dress,64.95,42.95, White/gray/pink, White, Cotton
CL0034746, Faux wrap cotton knit dress, Dress,64.95,48.95, Royal blue, Royal blue, Cotton Spandex
CL0036523, Floral print sash tied surplice dress, Dress,94.95,47.95, Beige multi, Beige multi, Cotton Polyester Spandex
CL0035265, Floral lace shift dress, Dress,99.95,99.95, Sunset yellow, Sunset yellow, Polyester
CL0035964, Graphic embellished chiffon tank, Top,106.95,53.95, Ivory, Ivory, Polyester
CL0036094, Graphic print knit pants, Pant,79.95,47.95, Navy/orange, Navy, Polyester
CL0035584, Piped trim cotton knit dress, Dress,69.95,52.95, Royal blue/black, Royal blue, Cotton Spandex
CL0036534, Barely there cap sleeve eyelet blouse, Top,69.95,41.95, White, White, Cotton
CL0034911, Graphic embellished bib cotton knit dress, Dress,86.95,65.95, Royal blue/white, Royal blue, Cotton Spandex
CL0036428, Floral print chiffon asymmetrical tunic, Top,126.95,50.95, Ivory/coral/black, Ivory, Polyester
CL0035390, Asymmetric popover crepe dress, Dress,106.95,64.95, Off-white, Off-white, Polyester Spandex
CL0035803, Chevron banded stripe poplin dress, Dress,69.95,34.95, White/black, White, Cotton Spandex
CL0036615, Stretchy crepe twill tunic dress, Dress,79.95,47.95, Light jade green, Light jade green, Polyester Spandex
CL0035306, Smocked shoulder crepe peasant dress, Top,89.95,44.95, Loden green, Loden green, Polyamide Spandex
CL0032061, Florence dress, Dress,119.95,119.95, Powder blue, Powder blue, Cotton Polyester
CL0036308, Illusion floral embellished cotton dress, Dress,156.95,102.95, White, White, Cotton
CL0032390, Landscape art print A-line skirt, Skirt,94.95,47.95, Blue multi, Blue multi, Polyester
CL0033065, Floral embellished tulle dress, Dress,76.95,76.95, Black, Black, Polyester
CL0033370, Embroidered yoke cotton knit blouse, Top,61.95,37.95, Deep navy, Deep navy, Cotton Spandex
CL0035973, Floral check print ankle pants, Pant,79.95,47.95, Navy/white, Navy, Polyester
CL0036006, Drawstring mosaic print crepe pants, Pant,79.95,47.95, Black/off-white/navy/red, Black, Polyester Spandex
CL0036750, Floral stripe print stretch sateen dress, Dress,109.95,43.95, Off-white/light indigo, Off-white, Cotton Spandex
CL0035984, Paisley embellished organza shift dress, Dress,119.95,119.95, Cream, Cream, Cotton Polyester
CL0036067, Floral embellished knit caftan top, Top,76.95,46.95, Denim blue/beige, Denim blue, Polyester Rayon
CL0035698, Graphic dot print cotton sateen dress, Dress,79.95,39.95, Deep navy multi/white, Deep navy multi, Cotton Spandex
CL0034522, Banded stripe contrast tulle skirt, Skirt,59.95,38.95, Off-white/black, Off-white, Polyester
CL0036130, Emoji embellished jogger pants, Pant,86.95,52.95, Black/white, Black, Polyester
CL0036752, Asymmetric layer popover print dress, Dress,119.95,47.95, Off-white/black/coral, Off-white, Rayon
CL0036539, Woven check cap sleeve shirt, Top,39.95,19.95, Loden/navy multi, Loden, Cotton
CL0035336, Floral embroidery tiered cotton knit dress, Dress,86.95,56.95, Black multi, Black multi, Cotton Spandex
CL0035520, Cotton gingham check shorts, Pant,79.95,47.95, Black/white, Black, Cotton
CL0034683, Chevron print cotton colorblock dress, Dress,74.95,44.95, Navy/white, Navy, Cotton
CL0036345, Lace trim stripe print shirtdress, Dress,89.95,53.95, Olive/khaki/brown, Olive, Cotton
CL0036668, Floral embellished georgette caftan top, Top,71.95,43.95, Strawberry ice/gold, Strawberry ice, Cotton
CL0036423, Mitered stripe print top, Top,64.95,25.95, Multicolor, Multicolor, Rayon
CL0034765, Angled hem drape front tee, Top,39.95,19.95, Mint green, Mint green, Viscose
CL0036606, Scallop hem ponte shift dress, Dress,114.95,68.95, Royal blue, Royal blue, Rayon Nylon Spandex
CL0036115, Embellished bodice tulle gown, Dress,499.95,499.95, Off-white, Off-white, Polyester
CL0036845, Cotton knit elastic drawstring skirt, Skirt,54.95,32.95, Maize yellow, Maize yellow, Cotton Spandex
CL0034592, Stripe trim cotton knit tunic, Top,56.95,34.95, Black/white, Black, Cotton Spandex
CL0036587, Woven check cotton high low shirtdress, Dress,64.95,38.95, Red/Navy/off-white, Red, Cotton
CL0036968, Scallop embellished cotton poplin dress, Dress,96.95,67.95, White/blue, White, Cotton
CL0034147, Floral print crepe A-line dress, Dress,79.95,47.95, Black multi, Black multi, Polyester Crepe de Chine
CL0036977, V-neck strap cotton poplin dress, Dress,59.95,59.95, Deep navy, Deep navy, Cotton
CL0032527, Quilted jacquard ponte bomber jacket, Jacket,109.95,65.95, Black, Black, Rayon Nylon Spandex
CL0036838, Hound dog print contrast trim top, Top,49.95,32.95, White/deep navy, White, Cotton Spandex
CL0036427, Floral print cotton knit wrap dress, Dress,94.95,37.95, White/black multi, White, Cotton Spandex
CL0036497, Tile print elastic waist pants, Pant,74.95,44.95, Cream/red, Cream, Polyester Crepe de Chine
CL0036041, Split neck lace sheath dress, Dress,399.95,399.95, Ivory, Ivory, Silk
CL0034254, Belted parrot print cotton skirt, Skirt,79.95,39.95, Royal blue multi, Royal blue multi, Cotton
CL0036436, Split neck sheath dress, Dress,89.95,35.95, Mayo teal, Mayo teal, Cotton Spandex
CL0036994, Watercolor floral print crepe blouse, Top,59.95,41.95, Off-white/blue multi, Off-white, Polyester Crepe de Chine
CL0036849, Stripe georgette surplice blouson top, Top,59.95,35.95, Black/cream, Black, Polyester
CL0036841, The leanear pleat knit skirt, Skirt,129.95,84.95, Coral, Coral, Viscose Spandex
CL0026089, Havana dress, Dress,69.95,69.95, Poppy red, Poppy red, Cotton
CL0037002, Leaf print crepe sash tie shift dress, Dress,89.95,62.95, Off-white/blue multi, Off-white, Polyester Crepe de Chine
CL0036842, Notch neck stretch crepe blouse, Top,59.95,38.95, French blue, French blue, Polyamide Spandex
CL0026176, Vivid cotton poplin top, Top,39.95,27.95, Poppy red, Poppy red, Cotton
CL0029203, Drape neck cotton knit dress, Dress,59.95,29.95, Royal blue, Royal blue, Cotton Spandex
CL0036666, Floral flutter sleeve textured crepe shift dress, Dress,79.95,47.95, Off-white/aqua/coral, Off-white, Polyester
CL0037053, Floral print wrap detail dress, Dress,129.95,90.95, Beige/off-white multi, Beige, Cotton
CL0037069, Bow tie cutout back cotton knit dress, Dress,74.95,56.95, Purple, Purple, Cotton Spandex
CL0036957, Cotton knit elastic waist maxi dress, Dress,74.95,52.95, Deep navy, Deep navy, Cotton Spandex
CL0033808, Embellished ponte knit pencil skirt, Skirt,106.95,64.95, Black/lavender, Black, Rayon Nylon Spandex
CL0033188, Floral sequin pencil skirt, Skirt,99.95,49.95, Black/green/aqua, Black, Nylon
CL0036551, Banded V-neck crepe tunic, Top,39.95,23.95, Gold, Gold, Polyester Spandex
CL0035113, Sequin chiffon trumpet gown, Dress,136.95,136.95, Ivory, Ivory, Polyester
CL0037022, Floral splash print full skirt, Skirt,69.95,48.95, Beige/fuchsia/black, Beige, Cotton Polyester Spandex
CL0036530, Stretch twill surplice jumpsuit, Jumpsuit,94.95,56.95, Black, Black, Polyamide Spandex
CL0036549, Roll tab sleeve jersey knit tunic, Top,59.95,35.95, Black, Black, Viscose Spandex
CL0036855, Ribbon stripe illusion yoke top, Top,39.95,25.95, Blue/white/brown black, Blue, Polyester
CL0036837, Embellished chevron stripe cotton shift, Dress,76.95,50.95, Navy/white/yellow, Navy, Cotton
CL0036830, Cotton knit elastic drawstring skirt, Skirt,54.95,32.95, Orange, Orange, Cotton Spandex
CL0036929, Contrast collar woven check shirtdress, Dress,74.95,52.95, Beige/navy multi, Beige, Cotton
CL0036853, Tile print satin smocked jumpsuit, Jumpsuit,69.95,41.95, Blue/white/black/brown, Blue, Polyester Spandex
CL0036899, Embroidered jersey sundress, Dress,96.95,58.95, Coral, Coral, Viscose Spandex
CL0033073, Floral embellished cotton knit tee, Top,76.95,46.95, Black multi, Black multi, Cotton Spandex
CL0033122, Sash tie cotton knit shirt, Top,79.95,59.95, Royal blue, Royal blue, Cotton Spandex
CL0037088, Trapunto trim poplin shift dress, Dress,59.95,44.95, Surf blue, Surf blue, Cotton
CL0034795, Notch collar wrap front top, Top,49.95,24.95, Red, Red, Polyester
CL0035695, Floral border print cotton sateen skirt, Skirt,89.95,53.95, White/green multi, White, Cotton Spandex
CL0034517, Chevron stripe colorblock maxi dress, Dress,99.95,79.95, Indigo/deep navy/khaki, Indigo, Cotton
CL0035114, Layered asymmetric hem georgette top, Top,49.95,24.95, Red, Red, Polyester
CL0031290, Piped trim poplin wrap blouse, Top,49.95,37.95, Spring green/black, Spring green, Cotton
CL0036482, Floral print crepe full skirt, Skirt,79.95,31.95, Yellow/brown multi, Yellow, Polyester Crepe de Chine
CL0036563, Pleat front cotton blend skirt, Skirt,79.95,39.95, Deep navy, Deep navy, Cotton Polyester Spandex
CL0037080, Pleated surplice cotton knit dress, Dress,79.95,59.95, Orange, Orange, Cotton Spandex
CL0035729, Pleat waist tailored shorts, Pant,69.95,41.95, Black, Black, Polyester Spandex
CL0036312, Ruffled bird print crepe top, Top,39.95,19.95, Off-white/black/pink, Off-white, Polyester
CL0035300, Layered asymmetric hem crepe top, Top,86.95,52.95, Deep navy, Deep navy, Polyamide Spandex
CL0035305, Layered asymmetric hem crepe top, Top,79.95,47.95, Mandarin orange, Mandarin orange, Polyamide Spandex
CL0035558, Flowy sand wash silk top, Top,129.95,64.95, Red, Red, Silk
CL0035214, Floral embellished voile caftan top, Top,66.95,40.95, White/black, White, Cotton
CL0027313, Chateau cotton poplin dress, Dress,59.95,41.95, Poppy red, Poppy red, Cotton
CL0032640, Floral yoke cotton knit tunic, Top,76.95,46.95, Deep navy multi, Deep navy multi, Cotton Spandex
CL0032858, Retro cotton poplin shirtdress, Dress,59.95,44.95, Khaki, Khaki, Cotton
CL0037051, Bow tie back woven ikat check dress, Dress,69.95,52.95, Red/navy/white, Red, Cotton
CL0035080, Roll tab sleeve pullover shirt, Top,49.95,24.95, Celery green, Celery green, Polyester Spandex
CL0034895, Layered chiffon print swing tank, Top,61.95,37.95, Brown/beige/pink, Brown, Polyester
CL0035147, Sequin chiffon crystal belted dress, Dress,96.95,96.95, Ivory/copper, Ivory, Polyester Metallic
CL0035299, Woven split sleeve blouse, Top,44.95,26.95, Orange, Orange, Rayon
CL0036824, Gold trim floral lace sheath dress, Dress,89.95,89.95, Ecru/gold, Ecru, Cotton Nylon
CL0035510, Pleat front ankle pants, Pant,99.95,59.95, Black, Black, Polyester Spandex
CL0035754, Belted stretch knit pants, Pant,99.95,59.95, Kentucky blue, Kentucky blue, Rayon Polyester Spandex
CL0033702, Sequin front cotton knit tank top, Top,54.95,21.95, Pink/black, Pink, Cotton Polyester Spandex
CL0036472, Split neck palm print crepe dress, Dress,89.95,35.95, Off-white/turquoise/black, Off-white, Polyester Crepe de Chine
CL0034381, Faux wrap cotton knit skirt, Skirt,64.95,48.95, Royal blue, Royal blue, Cotton Spandex
CL0036341, Abstract stripe shark bite tank, Top,59.95,29.95, Beige/black, Beige, Polyester Spandex
CL0036866, Pintuck pleat crinkle cotton trapeze dress, Dress,69.95,45.95, Deep navy, Deep navy, Cotton
CL0035871, Kimono sleeve asymmetric crepe tunic, Top,64.95,32.95, Coral, Coral, Polyester Spandex
CL0036227, Draped kimono knit jacket, Jacket,79.95,47.95, Black/white, Black, Polyester Rayon
CL0035378, Floral embellished flutter sleeve georgette  top, Top,66.95,40.95, Stellar blue, Stellar blue, Polyester
CL0036733, Textured diamond chiffon split neck tunic, Top,59.95,23.95, Turquoise, Turquoise, Polyester
CL0035282, Sash tie jersey blouson top, Top,64.95,32.95, Coral, Coral, Viscose Spandex
CL0036275, Geo print chiffon asymmetrical hem dress, Dress,119.95,71.95, Off-white/navy/gray, Off-white, Polyester
CL0034407, Pleat front cotton knit skirt, Skirt,59.95,35.95, Black, Black, Cotton Spandex
CL0034435, Tulle illusion bodice poplin dress, Dress,59.95,59.95, Khaki/black, Khaki, Cotton
CL0037033, Piped trim cotton poplin top, Top,39.95,29.95, Banana yellow/cream, Banana yellow, Cotton Polyester Spandex
CL0035538, Pleat front cotton blend skirt, Skirt,79.95,47.95, Khaki, Khaki, Cotton Polyester Spandex
CL0035417, Scallop eyelash trim floral lace top, Top,69.95,69.95, Black, Black, Cotton Nylon
CL0036284, Sash tie tencel shirtdress, Dress,99.95,59.95, Turquoise, Turquoise, Tencel
CL0036829, Graphic hound dog print cotton knit skirt, Skirt,54.95,35.95, White/navy, White, Cotton Spandex
CL0035932, Side stripe floral print jogger pants, Pant,99.95,59.95, Navy/aqua/black multi, Navy, Cotton Spandex
CL0035619, Trapunto stitch trim chambray denim dress, Dress,79.95,47.95, Indigo, Indigo, Cotton
CL0035127, Georgette split sleeve blouse, Top,44.95,22.95, Light mint, Light mint, Polyester
CL0035133, Graphic print crepe cutout top, Top,49.95,24.95, Gray/cream, Gray, Polyester
CL0035185, Floral embellished flutter sleeve georgette  top, Top,66.95,40.95, Light mint, Light mint, Polyester
CL0036543, Split neck floral crepe tunic, Top,54.95,32.95, Black/red multi, Black, Polyester Crepe de Chine
CL0036313, Floral sequin colorblock skirt, Skirt,96.95,58.95, Deep indigo/black, Deep indigo, Cotton
CL0035517, Notch neck contrast trim crepe blouse, Top,39.95,19.95, Lavender/white, Lavender, Polyester Spandex
CL0035866, Banded stripe retro poplin frock, Dress,69.95,41.95, Black/poppy red/white, Black, Cotton
CL0035492, Stretch twill ankle pants, Pant,69.95,45.95, Khaki beige, Khaki beige, Rayon Nylon Spandex
CL0036099, Sunshine floral cotton poplin dress, Dress,96.95,72.95, Sunset gold, Sunset gold, Cotton
CL0035731, Pleat waist tailored shorts, Pant,79.95,47.95, Beige, Beige, Polyester Spandex
CL0037044, Daisy dress, Dress,59.95,59.95, Deep navy, Deep navy, Cotton
CL0037007, Eyelet trim floral print chiffon top, Top,49.95,34.95, Off-white multi, Off-white multi, Polyester
CL0036481, Landscape print jersey knit long skirt, Skirt,119.95,47.95, Multi-color, Multi-color, Polyester Spandex
CL0036904, Side button cotton knit skirt, Skirt,49.95,34.95, Orange, Orange, Cotton Spandex
CL0037038, Crisscross hem cotton knit top, Top,39.95,29.95, Orange, Orange, Cotton Spandex
CL0035189, Notch collar wrap front top, Top,49.95,29.95, Navy multi, Navy multi, Polyester
CL0035942, Tile print crepe jogger pants, Pant,99.95,59.95, Black multi, Black multi, Cotton
CL0035983, Floral stretch sateen utility cargo pants, Pant,89.95,53.95, Beige/fuchsia/black, Beige, Cotton Polyester Spandex
CL0035509, Pleat front ankle pants, Pant,99.95,59.95, Beige, Beige, Polyester Spandex
